,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
2459,Downtown Toronto,Regent Park,43.6542599,-79.3606359,John Fluevog Shoes,43.64989585773889,-79.3594359503061,Shoe Store
2460,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Greg's Ice Cream,43.65010164153305,-79.3604404498866,Ice Cream Shop
2461,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Berkeley Church,43.65512324174501,-79.36587330410705,Event Space
2462,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Arta Gallery,43.650022181882065,-79.36122168476822,Art Gallery
2463,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Wildly Delicious Cafe,43.65043587832196,-79.3588615181307,Café
2464,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122,Coffee Shop
2465,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Ontario Spring Water Sake Company,43.649921646081026,-79.36007302731126,Brewery
2466,Downtown Toronto,Regent Park,43.6542599,-79.3606359,TD Canada Trust,43.65287100000001,-79.35774349570084,Bank
2467,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
2468,Downtown Toronto,Regent Park,43.6542599,-79.3606359,The Beer Store,43.657773,-79.3574632,Beer Store
2469,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
2470,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Percy Park,43.655180204272725,-79.35742132052623,Park
2471,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Residence & Conference Centre,43.65304,-79.35704,Hotel
2472,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Tori's Bakeshop,43.65313985163237,-79.35665060762287,Bakery
2473,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Tim Hortons Coffee House,43.6566309,-79.3562402,Coffee Shop
2474,Downtown Toronto,Regent Park,43.6542599,-79.3606359,GW General,43.650495,-79.357538,Antique Shop
4827,North York,Lawrence Heights,43.718517999999996,-79.46476329999999,Roots,43.71847597222825,-79.46686883068844,Boutique
4828,North York,Lawrence Heights,43.718517999999996,-79.46476329999999,Kitchen Stuff Plus (Clearance Outlet),43.71909636823933,-79.46267482419971,Furniture / Home Store
4829,North York,Lawrence Heights,43.718517999999996,-79.46476329999999,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Vietnamese Restaurant
4830,North York,Lawrence Heights,43.718517999999996,-79.46476329999999,Orfus Road Shopping Outlets,43.719045296434736,-79.46084915034818,Clothing Store
4831,North York,Lawrence Heights,43.718517999999996,-79.46476329999999,Tim Hortons,43.7194274,-79.4679949,Coffee Shop
4832,North York,Lawrence Heights,43.718517999999996,-79.46476329999999,Ardene Shoes Outlet,43.718892366644944,-79.46134358371631,Accessories Store
4833,North York,Lawrence Heights,43.718517999999996,-79.46476329999999,Rinx Real Entertainment Centre,43.71784220022086,-79.46223069665501,Event Space
4834,North York,Lawrence Heights,43.718517999999996,-79.46476329999999,Bluenotes' Head Office,43.718053735782526,-79.46320043192486,Fraternity House
4835,North York,Lawrence Heights,43.718517999999996,-79.46476329999999,Bluenotes,43.718474256721365,-79.46546375824403,Clothing Store
4836,North York,Lawrence Heights,43.718517999999996,-79.46476329999999,Urban Planet,43.71811536866692,-79.46630425113801,Clothing Store
4837,North York,Lawrence Heights,43.718517999999996,-79.46476329999999,Le Château,43.71926903,-79.460276,Clothing Store
4838,North York,Lawrence Heights,43.718517999999996,-79.46476329999999,Universal Lighting,43.721790091210906,-79.46641411892136,Furniture / Home Store
4971,North York,Lawrence Manor,43.718517999999996,-79.46476329999999,Roots,43.71847597222825,-79.46686883068844,Boutique
4972,North York,Lawrence Manor,43.718517999999996,-79.46476329999999,Kitchen Stuff Plus (Clearance Outlet),43.71909636823933,-79.46267482419971,Furniture / Home Store
4973,North York,Lawrence Manor,43.718517999999996,-79.46476329999999,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Vietnamese Restaurant
4974,North York,Lawrence Manor,43.718517999999996,-79.46476329999999,Orfus Road Shopping Outlets,43.719045296434736,-79.46084915034818,Clothing Store
4975,North York,Lawrence Manor,43.718517999999996,-79.46476329999999,Tim Hortons,43.7194274,-79.4679949,Coffee Shop
4976,North York,Lawrence Manor,43.718517999999996,-79.46476329999999,Ardene Shoes Outlet,43.718892366644944,-79.46134358371631,Accessories Store
4977,North York,Lawrence Manor,43.718517999999996,-79.46476329999999,Rinx Real Entertainment Centre,43.71784220022086,-79.46223069665501,Event Space
4978,North York,Lawrence Manor,43.718517999999996,-79.46476329999999,Bluenotes' Head Office,43.718053735782526,-79.46320043192486,Fraternity House
4979,North York,Lawrence Manor,43.718517999999996,-79.46476329999999,Bluenotes,43.718474256721365,-79.46546375824403,Clothing Store
4980,North York,Lawrence Manor,43.718517999999996,-79.46476329999999,Urban Planet,43.71811536866692,-79.46630425113801,Clothing Store
4981,North York,Lawrence Manor,43.718517999999996,-79.46476329999999,Le Château,43.71926903,-79.460276,Clothing Store
4982,North York,Lawrence Manor,43.718517999999996,-79.46476329999999,Universal Lighting,43.721790091210906,-79.46641411892136,Furniture / Home Store
5115,Queen's Park,Queen's Park,43.6623015,-79.3894938,Queen's Park,43.66394609897775,-79.39217952520835,Park
5116,Queen's Park,Queen's Park,43.6623015,-79.3894938,Mercatto,43.660390911898546,-79.38766421192705,Italian Restaurant
5117,Queen's Park,Queen's Park,43.6623015,-79.3894938,Nando's Flame-Grilled Chicken,43.661617063338966,-79.38609536960354,Portuguese Restaurant
5118,Queen's Park,Queen's Park,43.6623015,-79.3894938,Sushi Box,43.66295954544153,-79.38657996066198,Sushi Restaurant
5119,Queen's Park,Queen's Park,43.6623015,-79.3894938,Coffee Island,43.66427089680226,-79.38697157138014,Coffee Shop
5120,Queen's Park,Queen's Park,43.6623015,-79.3894938,YMCA,43.66275344493089,-79.3848492869005,Gym
5121,Queen's Park,Queen's Park,43.6623015,-79.3894938,Coffee Public,43.66076299149323,-79.38618409033066,Coffee Shop
5122,Queen's Park,Queen's Park,43.6623015,-79.3894938,Tokyo Sushi,43.665885330936845,-79.38697684868161,Sushi Restaurant
5123,Queen's Park,Queen's Park,43.6623015,-79.3894938,Hart House Theatre,43.66357134217992,-79.3946163990837,Theater
